date,energy_expected_mwh,energy_measured_mwh,avg_loss_percent,median_loss_percent,avg_temperature_loss_percent,avg_pr_proxy,max_temp_pv_c,max_irradiance_wm2,warning_count,critical_count,curtailment_count,energy_loss_mwh,energy_loss_percent
2025-03-01,253.60143554637494,239.87460000000002,4.141111441911857,4.260888647014173,6.951299999999999,0.9585888855808815,60.0,1004.7,3,0,0,13.726835546374929,5.412759402091305
2025-03-02,266.9121752465,248.5862,5.649348334327982,3.946663144566371,7.094666666666667,0.9435065166567201,57.5,961.1,2,1,0,18.325975246500008,6.865919559336518
2025-03-03,264.501809788875,248.79999999999998,5.987340989816504,6.407070809711432,7.841473684210526,0.9401265901018349,59.3,981.8,2,0,0,15.70180978887501,5.936371400032452
2025-03-04,250.661991963375,238.94785,5.736756398589315,3.364489227823833,6.7303,0.9426324360141068,57.2,931.6,6,3,0,11.714141963374999,4.67328208461959
2025-03-05,226.05899776487502,204.3008,8.845652310146576,8.81443627151987,7.61778947368421,0.9115434768985342,60.3,949.2,10,1,0,21.758197764875007,9.625008506631444
2025-03-06,248.99316021574998,225.19039999999998,9.126867747049149,7.769801020236564,7.4925263157894735,0.9087313225295086,55.3,921.3,4,2,0,23.80276021575,9.55960404499672
2025-03-07,230.74403324749997,211.8502,8.041073947312011,7.163711341032546,7.617699999999999,0.91958926052688,61.6,979.5,10,1,0,18.89383324749997,8.188221806469908
2025-03-08,232.51888916087498,240.4045,-16.750952853564623,-6.016340765297539,8.018631578947367,1.1675095285356463,61.6,1065.0,8,1,0,-7.885610839125036,-3.391385047289275
2025-03-09,198.87527047625,108.29825,41.4594460300464,44.60403292519498,5.542,0.585405539699536,50.1,750.2,17,17,0,90.57702047625,45.54463722882371
2025-03-10,240.896988622625,212.60545,10.410885700866311,8.451966800520378,6.788666666666666,0.8958911429913369,55.2,978.0,8,3,0,28.291538622625012,11.74424752438266
2025-03-11,226.26726056012498,209.9149,6.7673164137133295,7.86216239998452,7.555157894736842,0.9323268358628667,57.3,1017.0,4,0,0,16.352360560124993,7.227011331486799
2025-03-12,208.73702366712496,191.0,8.385417976576319,7.041582566826149,7.29111111111111,0.9161458202342369,60.1,983.8,7,1,0,17.73702366712496,8.4973060147731
2025-03-13,264.07480454887497,244.47740000000002,7.334929646916273,6.407155942540388,6.855636363636363,0.9266507035308372,58.6,1009.1,7,1,0,19.597404548874948,7.421156509934238
2025-03-14,266.9121752465,249.0854,7.121817676124082,7.839841258952157,7.094666666666667,0.9287818232387592,57.5,961.1,7,4,0,17.826775246500006,6.678891747832985
2025-03-15,272.61198209012497,244.60000000000002,9.542618840213212,9.1789936215645,7.526952380952381,0.9045738115978679,60.5,1012.9,7,1,0,28.011982090124945,10.27540384518544
2025-03-16,197.886610470875,171.88095,11.651968337699229,9.765049847431518,6.6339999999999995,0.8834803166230077,57.0,847.6,7,3,0,26.005660470875,13.14169786879164
2025-03-17,242.36591147600004,211.52764999999997,11.289141446005813,8.717642470027807,7.590947368421052,0.8871085855399418,60.7,1072.6,9,2,0,30.83826147600007,12.723844408727333
2025-03-18,260.190524690875,231.83614999999998,11.059116210892821,10.2837440190061,7.9169,0.8894088378910718,60.5,1025.6,10,2,0,28.354374690875034,10.897543146339423
2025-03-19,215.26329808962498,202.8,4.724620816313314,6.577374288242537,6.941666666666666,0.9527537918368668,55.6,882.7,3,1,0,12.46329808962497,5.789792407824148
2025-03-20,223.55266122437496,206.0672,8.194198887775894,7.471720391975967,6.0108421052631575,0.918058011122241,54.7,973.6,4,1,0,17.485461224374944,7.821629645833276
2025-03-21,248.513623564375,229.72675,7.3327567631986765,8.862687891486745,7.005699999999999,0.9266724323680131,58.1,972.7,8,0,0,18.786873564374986,7.559695639586709
2025-03-22,271.92854086112504,245.2117,9.93655115801654,8.702489330099802,7.6449,0.9006344884198347,59.6,1013.7,9,1,6,26.716840861125036,9.824949148963892
2025-03-23,266.951508949125,222.29999999999995,15.055842162610913,9.711573740818604,7.449238095238095,0.8494415783738909,60.1,992.4,11,0,8,44.65150894912506,16.726449355877076
2025-03-24,257.583950092625,234.67260000000002,12.610047452135362,8.238990335279153,7.437904761904762,0.8738995254786465,59.8,997.3,9,4,0,22.911350092624986,8.894711834485907
2025-03-25,227.14390962087498,203.87325,10.114782669487532,9.938879471876486,7.053111111111111,0.8988521733051247,57.2,944.8,9,0,0,23.270659620874966,10.244897016924616
2025-03-26,264.413621730625,232.10495,12.210003089732496,12.458119772357595,6.891799999999999,0.8778999691026751,57.4,997.4,11,1,0,32.30867173062498,12.218989142526054
2025-03-27,265.492450104875,240.43265000000002,8.714234389782922,7.408421880470331,7.601428571428571,0.9128576561021708,61.0,1020.7,8,2,0,25.059800104874967,9.438987848797895
2025-03-28,252.957330547,215.20385,14.970764751100868,12.547425439907034,7.177238095238094,0.8502923524889913,61.5,1029.7,18,3,0,37.75348054700001,14.924841460558241
2025-03-29,200.99392668000002,168.54784999999998,16.343483857865742,15.442263945615645,6.4707368421052625,0.8365651614213426,55.9,941.6,15,6,0,32.44607668000003,16.142814470039703
2025-03-30,141.01942141137496,120.97019999999999,12.933811959938893,10.570721349525478,4.668200000000001,0.870661880400611,54.9,937.2,12,5,0,20.049221411374972,14.21734766085046
2025-03-31,94.78963018787498,89.85000000000001,1.5656789130030644,7.44429702683433,7.011555555555556,0.9843432108699695,58.1,496.5,8,6,0,4.939630187874968,5.211150394916111
2025-04-02,175.30378716362495,157.8112,8.891041771725174,8.580848656173696,5.332333333333334,0.9110895822827483,52.0,880.0,6,2,0,17.492587163624933,9.978442249680386
2025-04-03,246.859746106375,191.12699999999998,20.040879371315235,19.886291093936233,6.979714285714285,0.7995912062868475,59.7,1062.1,18,7,3,55.73274610637503,22.576684528533495
2025-04-04,264.9900615217501,225.84999999999997,16.194096397332576,13.062346720894832,7.5463,0.8380590360266742,59.9,1040.0,17,5,0,39.14006152175011,14.770388480602522
2025-04-05,282.46146240912503,237.42975,15.523520446462761,14.36005684479697,7.258190476190476,0.8447647955353725,62.0,1078.9,18,4,0,45.03171240912502,15.942604001638935
2025-04-06,235.27980682724998,193.6666,17.410049712625057,16.37332417841786,6.461619047619047,0.8258995028737495,58.4,1114.4,19,6,0,41.613206827249996,17.686688623390342
2025-04-07,287.62583820425,199.18589999999998,26.611720450942396,22.16344315583169,7.834571428571428,0.7338827954905761,61.7,1025.1,20,3,9,88.43993820425001,30.748259181585315
2025-04-08,200.99392668000002,167.95,16.839357243606845,15.436085503045671,6.4707368421052625,0.8316064275639315,55.9,941.6,15,6,0,33.04392668000003,16.44026126849537
2025-04-09,247.696368840875,205.95,17.005750049493756,15.08494362779118,7.895157894736841,0.8299424995050625,61.2,957.2,19,7,0,41.74636884087502,16.85384773149166
2025-04-10,256.04370523637505,217.41309999999996,14.12168582331244,12.216312729159661,7.473523809523809,0.8587831417668755,61.8,1107.5,12,4,0,38.63060523637509,15.087504377704578
2025-04-11,210.87437389487496,180.85,13.974635703778238,15.289338550586729,7.2437894736842106,0.8602536429622177,56.9,878.8,13,5,0,30.02437389487497,14.238038193224329
2025-04-12,274.47510891124995,233.48990000000003,14.631725957404333,13.647611752081101,8.3045,0.8536827404259567,62.0,1068.4,18,3,0,40.98520891124991,14.932213370394276
2025-04-13,157.55118640925002,147.02589999999998,1.356869788568491,0.8987477394288675,5.051684210526315,0.9864313021143151,52.3,767.1,8,6,0,10.525286409250043,6.680550397068981
2025-04-14,212.56110402250002,180.97154999999998,13.57539368226158,10.457982325177468,6.6572000000000005,0.8642460631773842,56.3,916.4,10,7,0,31.58955402250004,14.861399110514698
2025-04-15,206.075051498,165.39999999999998,19.43110866644028,19.4471225078336,6.409894736842104,0.8056889133355972,54.8,1063.7,13,9,0,40.675051498000016,19.737979538194985
2025-04-16,232.779709675375,207.4061,10.588971716185181,12.494152240657392,7.3202,0.8941102828381482,61.6,1050.4,15,2,0,25.37360967537498,10.900266913624032
2025-04-17,268.1925062848749,230.58945,14.14766371761976,13.13577482348459,8.292599999999998,0.8585233628238024,62.4,1077.0,19,1,0,37.603056284874924,14.020919825751148
2025-04-18,264.501809788875,246.39194999999998,9.110233710703266,6.386318653665279,7.841473684210526,0.9088976628929673,59.3,981.8,5,2,0,18.109859788875013,6.846781049751713
2025-04-19,210.699394397125,175.05,16.865353260696054,16.610494680697695,7.4012631578947365,0.8313464673930394,56.9,880.7,15,6,0,35.64939439712498,16.919552378937176
2025-04-20,274.054251997625,235.3536,15.792037751277585,14.120547413043024,7.701809523809524,0.8420796224872242,60.1,1037.7,17,6,0,38.70065199762499,14.121529483863062
2025-04-21,232.59131514687502,191.1886,19.23553065624352,15.359797743180495,6.927499999999999,0.8076446934375647,59.6,950.9,19,9,0,41.40271514687501,17.80062816220388
2025-04-22,237.07180450974997,202.8,15.90511559873254,13.90336395021326,6.767619047619046,0.8409488440126746,59.4,974.9,19,3,0,34.271804509749956,14.456297146184024
2025-04-23,213.68373816737503,180.9865,16.07732067901853,14.236038433718292,7.676714285714285,0.8392267932098146,59.4,1061.8,14,2,0,32.69723816737502,15.301697006893336
2025-04-24,276.4910967149999,242.74939999999998,11.546593867952199,12.533213235553049,7.428999999999999,0.884534061320478,57.6,1021.6,15,1,0,33.74169671499993,12.203538238983525
2025-04-25,268.22376324424994,210.24999999999997,18.596434367714867,22.147785764365434,1.4882727272727272,0.8140356563228515,33.9,994.0,14,11,0,57.973763244249966,21.613954909527497
2025-04-26,209.909670977625,177.3974,14.77884952902396,14.395821300283032,8.104,0.8522115047097604,62.1,1042.0,13,3,0,32.51227097762501,15.488696078748369
2025-04-27,268.041932372625,225.75359999999998,14.331140764141315,12.98793428163195,8.372499999999999,0.8566885923585869,62.4,1049.5,15,4,0,42.288332372625035,15.776760001057177
2025-04-28,236.0028151905,224.6656,1.064309381544644,1.6819789440466608,6.9003,0.9893569061845536,57.6,934.4,8,4,0,11.33721519049999,4.803847437730207
2025-04-29,237.09032376462497,209.39999999999998,11.033098540505653,12.62353862874266,7.1502,0.8896690145949435,61.0,1020.7,13,1,0,27.690323764624992,11.679229807841075
2025-04-30,245.7552736955125,175.8336,24.95067828568398,22.85214060027449,7.429463636363636,0.7504932171431602,60.8,1052.9,18,14,0,69.92167369551251,28.451749028240396
