datetime,date,source_file,cycle,time_range,irradiance_poa_wm2,p_431_mw,p_meter_431_mw
2025-04-09 00:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,1,00:00 - 00:30,0.0,0.0,
2025-04-09 00:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,2,00:30 - 01:00,0.0,0.0,
2025-04-09 01:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,3,01:00 - 01:30,0.0,0.0,
2025-04-09 01:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,4,01:30 - 02:00,0.0,0.0,
2025-04-09 02:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,5,02:00 - 02:30,0.0,0.0,
2025-04-09 02:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,6,02:30 - 03:00,0.0,0.0,
2025-04-09 03:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,7,03:00 - 03:30,0.0,0.0,
2025-04-09 03:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,8,03:30 - 04:00,0.0,0.0,
2025-04-09 04:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,9,04:00 - 04:30,0.0,0.0,
2025-04-09 04:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,10,04:30 - 05:00,0.0,0.0,
2025-04-09 05:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,11,05:00 - 05:30,0.0,0.0,
2025-04-09 05:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,12,05:30 - 06:00,0.0,0.0,
2025-04-09 06:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,13,06:00 - 06:30,0.0,0.0,
2025-04-09 06:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,14,06:30 - 07:00,79.2,2.0,
2025-04-09 07:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,15,07:00 - 07:30,157.7,5.6,
2025-04-09 07:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,16,07:30 - 08:00,308.9,10.8,
2025-04-09 08:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,17,08:00 - 08:30,432.8,16.0,
2025-04-09 08:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,18,08:30 - 09:00,547.5,20.4,
2025-04-09 09:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,19,09:00 - 09:30,666.4,24.6,
2025-04-09 09:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,20,09:30 - 10:00,777.7,28.0,
2025-04-09 10:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,21,10:00 - 10:30,857.0,30.4,
2025-04-09 10:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,22,10:30 - 11:00,940.7,32.3,
2025-04-09 11:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,23,11:00 - 11:30,954.1,34.8,
2025-04-09 11:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,24,11:30 - 12:00,909.1,27.5,
2025-04-09 12:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,25,12:00 - 12:30,954.4,27.8,
2025-04-09 12:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,26,12:30 - 13:00,938.3,27.0,
2025-04-09 13:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,27,13:00 - 13:30,957.2,34.1,
2025-04-09 13:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,28,13:30 - 14:00,852.8,28.9,
2025-04-09 14:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,29,14:00 - 14:30,398.8,13.7,
2025-04-09 14:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,30,14:30 - 15:00,596.9,19.8,
2025-04-09 15:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,31,15:00 - 15:30,342.7,12.6,
2025-04-09 15:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,32,15:30 - 16:00,308.0,10.0,
2025-04-09 16:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,33,16:00 - 16:30,206.2,7.6,
2025-04-09 16:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,34,16:30 - 17:00,89.6,3.4,
2025-04-09 17:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,35,17:00 - 17:30,64.7,2.4,
2025-04-09 17:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,36,17:30 - 18:00,0.0,0.0,
2025-04-09 18:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,37,18:00 - 18:30,0.0,0.0,
2025-04-09 18:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,38,18:30 - 19:00,0.0,0.0,
2025-04-09 19:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,39,19:00 - 19:30,0.0,0.0,
2025-04-09 19:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,40,19:30 - 20:00,0.0,0.0,
2025-04-09 20:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,41,20:00 - 20:30,0.0,0.0,
2025-04-09 20:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,42,20:30 - 21:00,0.0,0.0,
2025-04-09 21:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,43,21:00 - 21:30,0.0,0.0,
2025-04-09 21:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,44,21:30 - 22:00,0.0,0.0,
2025-04-09 22:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,45,22:00 - 22:30,0.0,0.0,
2025-04-09 22:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,46,22:30 - 23:00,0.0,0.0,
2025-04-09 23:00:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,47,23:00 - 23:30,0.0,0.0,
2025-04-09 23:30:00,2025-04-09,Bao cao ngay DHD 09-04-2025.xlsx,48,23:30 - 00:00,0.0,0.0,
